Bucket,Link,FileKey
auth,https://www.figma.com/design/4WBrxsgT9mGXvZRB5Jtits/Free-Login-Register-Screens-UI-Kits--Community-?node-id=512-3239&p=f&t=crj4CAuC5Jt5Baoh-0,4WBrxsgT9mGXvZRB5Jtits
auth,https://www.figma.com/design/grKjRghhdLOnJE39QhKhSv/Authentication-Website-UI-Kit---Oval-Style--Community-?node-id=2-83&p=f&t=soKFWIkZzRriQ0pu-0,grKjRghhdLOnJE39QhKhSv
auth,https://www.figma.com/design/CqIYDAMY5EeuVAwk5TI6Hi/Mobile-App-Onboarding-%7C-Appetite-UI--Community-?node-id=10-597&p=f&t=mynTDLfSanGCjxbo-0,CqIYDAMY5EeuVAwk5TI6Hi
landing,https://www.figma.com/design/4xFATxq2bTnEUYZ6VoMlaz/Website-Wireframes-UI-Kit-%7C-BRIX-Templates--Community-?node-id=0-1&p=f&t=kkVZAqeBmR5IwxiJ-0,4xFATxq2bTnEUYZ6VoMlaz
wireframe,https://www.figma.com/design/V8eUM3s4UawPNV98ClaiYc/Wirefigma-FREE-%7C-Wireframe-Design-System-for-Figma--Community-?node-id=23-0&p=f&t=ThBib1KitsBF3SYi-0,V8eUM3s4UawPNV98ClaiYc
wireframe,https://www.figma.com/design/LxcU0o0knlEMk4kVc3Jcmh/Wireframe-UI-Kit--Figma----uxchunks--Community-?node-id=13-2038&p=f&t=gbTIhAp7ALbRwJGg-0,LxcU0o0knlEMk4kVc3Jcmh
dashboard,https://www.figma.com/design/Fshk7uqx0nm48SMsfYqyfy/SaaS-Dashboard---Free-UI-Kit--Community-?node-id=0-1&p=f&t=CBz65J7sn0RXwyUH-0,Fshk7uqx0nm48SMsfYqyfy
dashboard,https://www.figma.com/design/SWkEhReUYk4Fsjk9Uf3LXn/Glass-SaaS-Dashboard-%E2%80%93-Free-Figma-UI-Kit---Design-System--Community-?node-id=0-1&p=f&t=DSYoePX6H9FHadrr-0,SWkEhReUYk4Fsjk9Uf3LXn
mobile,https://www.figma.com/design/CLeJ35NYPljaA7ZBZFIynY/iOS-16-UI-Kit-for-Figma--Community-?node-id=1002-6668&p=f&t=z3Z0wiTJyWJDfIDO-0,CLeJ35NYPljaA7ZBZFIynY
mobile,https://www.figma.com/design/1wBJdkVjDLedn3sQWSQKtL/Free-Mobile-App-UI-Kit-for-Figma-%E2%80%94-Lite-Version--Community-?node-id=1-13&p=f&t=JQz5oX36G9HdopO6-0,1wBJdkVjDLedn3sQWSQKtL
ds,https://www.figma.com/design/33N9h8Z5wn3Ia1TCUUemrl/%E2%9D%96-Untitled-UI-%E2%80%93-FREE-Figma-UI-kit-and-design-system-v2.0--Community-?t=YmeZdFtiFAzcmB6N-0,33N9h8Z5wn3Ia1TCUUemrl
ds,https://www.figma.com/design/YZHmPB6ufDPv9AqiRwpoxd/Plus-UI----FREE-Figma-UI-Kit-and-Design-System--2026--v2.0--Community-?t=Mu0GR650pMQTJsxt-0,YZHmPB6ufDPv9AqiRwpoxd
ds,https://www.figma.com/design/L6fzDJmTnke43vjJWLSkH0/%E2%9D%96-Get-UI---FREE-Figma-UI-kit-and-design-system---1.0--Community-?t=puKpPfqMRwCixJnN-0,L6fzDJmTnke43vjJWLSkH0
ds,https://www.figma.com/design/WsosQBb33H11GfEyXB9Gv9/Flowbite---Tailwind-CSS-Figma-Design-System--Free-Edition---Community-?node-id=15-858&p=f&t=a1u3tLWuBnSeDS5G-0,WsosQBb33H11GfEyXB9Gv9
ds,https://www.figma.com/design/jfo7yAJEtwv3km6VkJ0zYQ/Material-3-Design-Kit--Community-?t=9FataUzuAoSYI4aB-0,jfo7yAJEtwv3km6VkJ0zYQ
ds,https://www.figma.com/design/Ukp3ITdHzoNJDd3z7tlcng/Ant-Design-System-for-Figma--Free-version---Community-?node-id=12-20919&p=f&t=nPNHTvu9iPeAp470-0,Ukp3ITdHzoNJDd3z7tlcng
ds,https://www.figma.com/design/0K5zL0g2vY2DdZhsOAkyng/HeroUI-Figma-Kit--Community---Community-?t=IVGcefxYGHiJqmBZ-0,0K5zL0g2vY2DdZhsOAkyng
ds,https://www.figma.com/design/0SePPJ4KDQ5zgxnYQ3ZtDc/HeroUI-Figma-Kit-V3--Community-?t=dVzAhK5I9CD5HdIO-0,0SePPJ4KDQ5zgxnYQ3ZtDc
ds,https://www.figma.com/design/zbJbnMYm07Q5lGzDYw8tbx/Shadcn-UI---Design-System---Free--Community-?t=0UjQljAcyj5dxdx0-0,zbJbnMYm07Q5lGzDYw8tbx
ds,https://www.figma.com/design/clBu02o1f9u5ktq1CCjgXX/Nolow-DS---Shadcn-UI-Kit--43-Components--Variables--Free---Community-?t=XtZn562wuxie1trs-0,clBu02o1f9u5ktq1CCjgXX
ds,https://www.figma.com/design/iWaeXGWx8Fu4I56eUmMYFA/shadcn-ui-components-with-variables---Tailwind-classes---Updated-January-2026--Community-?t=btkgs1Vk4cwXQ8qG-0,iWaeXGWx8Fu4I56eUmMYFA
ds,https://www.figma.com/design/T5AjaF7KsoZTtXHqC3kgsK/-shadcn-ui---Design-System--Community-?node-id=2-287&p=f&t=H4R0j6q0DAyGl9Da-0,T5AjaF7KsoZTtXHqC3kgsK
ds,https://www.figma.com/design/xM3OWDhb562vDYgIK0hfop/shadcn-ui--The-Ultimate-UI-Kit-for-Figma--Community-?t=ttNzFznW1BcUgHyK-0,xM3OWDhb562vDYgIK0hfop
ds,https://www.figma.com/design/ItdbQE988jQIE8ZwkCLXjY/Foundational-UI-Library--Community-?node-id=0-1&p=f&t=bpOddbwZnvstU5Yt-0,ItdbQE988jQIE8ZwkCLXjY
ds,https://www.figma.com/design/3BntoT09ryHp8jtFO7nwsM/Buttons-Mega-Builder--Community-?node-id=17-8006&p=f&t=0Dd77xbBoqgq1rkc-0,3BntoT09ryHp8jtFO7nwsM
mobile,https://www.figma.com/design/k6MvIYJvZRdWOXIzwRjiU6/iOS-16-UI-Kit-for-Figma--Community-?t=7ycRMyDXcZQrkeRM-0,k6MvIYJvZRdWOXIzwRjiU6
wireframe,https://www.figma.com/design/U1gugGVHMcBCrBr91s5cjO/Wirefigma-FREE-%7C-Wireframe-Design-System-for-Figma--Community-?t=5GSpoMVDlfSUcqv6-0,U1gugGVHMcBCrBr91s5cjO
wireframe,https://www.figma.com/design/62mTwoQlAFEMTVHwNd4onx/Wireframe-UI-Kit--Figma----uxchunks--Community-?node-id=13-2038&p=f&t=lo2MlHKyi5T6p4Kj-0,62mTwoQlAFEMTVHwNd4onx
landing,https://www.figma.com/design/P6lA9sHTHVbnmUfoYbV9Ir/Whitepace---SaaS-Landing-Page--Community-?t=E3oJwyYQDNN810R5-0,P6lA9sHTHVbnmUfoYbV9Ir
landing,https://www.figma.com/design/UbQrq5WZBqIw945aHbqLX4/Brainwave.io---Landing-Page-UI-Kit---Saas-Landing-Page---Creative-App-Landing-Page--Community-?t=0NbRFi6B3YjH4nU2-0,UbQrq5WZBqIw945aHbqLX4
landing,https://www.figma.com/design/N0Uc9SUEQUSUy4wNMsGH1C/B2Base---SaaS-platforms---Startups-Figma-Template--Free---Community-?t=PXF2pQFxs0wvOTaM-0,N0Uc9SUEQUSUy4wNMsGH1C
landing,https://www.figma.com/design/4mqzdefxfDX2SYlTqGTU2n/SaaS---App-Website-I-Saasto--Community-?node-id=181-1481&p=f&t=VTJgvSng72rffbVb-0,4mqzdefxfDX2SYlTqGTU2n
landing,https://www.figma.com/design/dqhfrq4zUFD2nY697858Vp/Cloudhub---SAAS-Website-Template--Community-?t=3t7JlJS1nbu4Qjne-0,dqhfrq4zUFD2nY697858Vp
landing,https://www.figma.com/design/YGuEMAVBRhpR51B159hwIg/Landing-Play-Lite-Version---Landing-Page-UI-Kit-for-Figma--Community-?t=5x7eQ8YqLLzULLfi-0,YGuEMAVBRhpR51B159hwIg
landing,https://www.figma.com/design/WAzHraTgsSqQQbJrTRSKlX/Design-a-Startup-Landing-Page--Community-?t=fflXtEBlSOm3r8lt-0,WAzHraTgsSqQQbJrTRSKlX
landing,https://www.figma.com/design/m8WyQ9XBo9bvMHhk3m60RK/Filo-%E2%80%93-Free-SaaS---Startup-Framer-Website-Template--Community-?node-id=0-1&p=f&t=upOg1sYDqMYr8wIq-0,m8WyQ9XBo9bvMHhk3m60RK
dashboard,https://www.figma.com/design/DOJzcoTY6pQttUY9dLDZdT/DashStack---Free-Admin-Dashboard-UI-Kit---Admin---Dashboard-Ui-Kit---Admin-Dashboard--Community---Copy-?node-id=0-40222&p=f&t=qhNftPV4rS8RZyZE-0,DOJzcoTY6pQttUY9dLDZdT
dashboard,https://www.figma.com/design/YBSMjXDGLXoxuVoakAAydM/Filo-%E2%80%93-Free-SaaS---Startup-Framer-Website-Template--Community-?t=8SsK24b7EoN7oJBt-0,YBSMjXDGLXoxuVoakAAydM
dashboard,https://www.figma.com/design/l2VY2vjR5wZOa8QP27y8Jn/Metrix-SaaS-Dashboard-UI-Kit--Community-?m=auto&is-community-duplicate=1&fuid=1662334490189385437,l2VY2vjR5wZOa8QP27y8Jn
dashboard,https://www.figma.com/design/gqqf7zffiVkOSSrdxIyvFj/Glass-SaaS-Dashboard-%E2%80%93-Free-Figma-UI-Kit---Design-System--Community-?t=38s25Nu8S2OzlcW3-0,gqqf7zffiVkOSSrdxIyvFj
dashboard,https://www.figma.com/design/nvXupvwDpOTbJr9pgA7MSs/SaaS-Dashboard-UI-Kit--Free---Community-,nvXupvwDpOTbJr9pgA7MSs
dashboard,https://www.figma.com/design/tBlMFplcpGOdP171ZgdmDW/Fintech-SaaS-Admin-Dashboard-UI-Kit--Community-?t=yfaPdGHVXmVVn4iE-0,tBlMFplcpGOdP171ZgdmDW
dashboard,https://www.figma.com/design/QZ4vlik8qwoR3nmbNgZggk/CRM-Dashboard---Landing-page-UI-Kit--Community-?node-id=1029-91074&p=f&t=LiYcn1EZONosFdfl-0,QZ4vlik8qwoR3nmbNgZggk
ds,https://www.figma.com/design/Efe6oRto8RL5vQaPkovK4f/Glow-UI-%E2%80%94-FREE-UI-kit-and-design-system-for-web-apps-and-SaaS--Community-?t=xojM4JvkrSyJbG5v-0,Efe6oRto8RL5vQaPkovK4f
